country,age,sex,ever_used_dss,farm_size,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Mexico,44,Male,True,451.51631553743977,3,5,3,2,2,4,5,5,2,1
UK,35,Male,False,743.4278628490081,4,3,2,2,3,5,5,2,5,2
UK,43,Female,True,982.6434478463809,5,3,1,4,1,3,2,2,5,5
Australia,28,Female,False,211.00692127904733,5,3,1,3,2,3,5,1,4,4
Mexico,30,Male,False,891.9247659447678,2,5,3,4,1,1,5,2,2,5
Canada,66,Female,False,756.84542800132,5,5,3,2,2,3,1,5,4,2
USA,41,Male,True,321.99563615385273,5,4,2,3,2,2,1,2,3,5
UK,36,Female,True,413.8003754831608,5,4,2,5,2,2,4,4,2,1
USA,51,Female,True,1114.0734620730736,4,5,2,5,2,4,5,2,2,3
Australia,54,Female,False,150.56818844769276,5,3,1,4,3,2,5,5,5,2
UK,34,Female,False,362.01898252323474,3,3,2,3,3,5,2,2,3,3
UK,44,Male,True,934.5521935397392,4,2,2,3,2,5,2,5,1,2
UK,34,Male,True,733.5701888243339,4,2,2,2,3,5,1,4,5,4
Canada,35,Male,False,666.7081569416548,2,4,2,5,1,2,5,2,3,1
Australia,45,Female,True,520.6594047338713,4,3,3,5,2,4,1,5,1,3
Canada,46,Female,True,426.56036727505773,2,3,1,4,2,2,4,4,4,4
Canada,32,Female,False,215.2651212206767,5,3,3,4,2,4,3,4,5,2
Australia,45,Male,True,969.0059222739042,2,5,1,3,1,3,5,5,4,2
UK,26,Female,False,334.06020503704383,3,4,3,4,3,3,4,4,3,2
Mexico,61,Female,True,411.716330496413,4,3,1,4,2,5,3,3,1,1
USA,56,Male,False,10.0,5,2,1,5,3,4,4,4,5,1
Mexico,54,Male,True,423.48093720560246,4,4,1,5,3,1,3,1,4,4
USA,37,Female,True,308.34787460687136,4,2,1,3,2,2,1,5,4,4
USA,59,Male,False,287.8360012182536,4,3,2,2,2,5,5,1,3,3
UK,45,Male,False,581.300479504353,4,3,2,3,2,5,1,3,3,2
UK,58,Female,True,316.901512756284,5,4,1,3,1,4,3,1,3,2
Australia,27,Male,True,292.87936932532523,3,4,3,4,2,4,3,1,4,2
Canada,52,Male,True,518.3861966779816,3,3,2,4,2,2,5,3,1,5
Mexico,61,Male,False,343.60147240444405,4,3,1,4,2,2,1,5,3,2
USA,65,Female,True,714.3292069045278,5,2,2,3,1,5,5,2,2,1
Mexico,61,Female,True,40.55023165084725,3,3,3,3,2,1,4,1,5,3
USA,58,Female,False,74.25445948438067,5,4,2,3,2,3,4,3,3,5
USA,65,Female,True,78.8763243763035,2,3,3,4,2,1,2,4,2,5
USA,49,Male,False,441.94407791853575,2,4,3,3,2,1,5,3,5,2
Canada,54,Male,True,508.72464457689483,3,5,2,4,1,3,2,3,5,2
Canada,33,Female,True,505.0112746913434,2,5,1,4,3,2,1,2,1,1
Canada,60,Male,True,550.0284700094114,3,4,1,3,3,2,5,5,4,5
USA,31,Male,False,952.0639868530704,4,5,2,3,3,4,4,2,3,3
Mexico,55,Female,True,172.53543581693185,4,5,3,3,3,5,5,1,1,5
UK,56,Female,True,370.02719895425383,4,2,1,3,3,1,5,5,4,2
Australia,35,Female,False,436.7314374301349,5,3,2,2,2,1,5,1,3,2
UK,68,Female,False,541.8880478498124,4,2,3,3,2,2,3,3,3,3
Canada,26,Female,True,31.525431810406758,4,4,1,5,2,5,4,4,4,1
Canada,54,Female,False,689.2329994500554,4,4,2,2,2,2,4,1,1,3
USA,46,Female,False,436.5559315158319,4,2,1,3,2,5,2,5,3,3
Canada,45,Male,False,602.8854017607124,2,4,2,3,2,5,1,3,4,1
Mexico,53,Female,True,186.35613083211507,4,5,2,3,1,5,5,3,4,2
Australia,34,Female,False,631.5179304281835,4,4,1,2,2,5,1,1,3,1
USA,36,Female,False,316.3256867293437,3,3,2,3,2,1,4,5,3,5
Australia,50,Male,True,183.58940246573002,3,3,1,4,2,4,5,2,4,3
Canada,30,Male,True,582.3634452129553,2,4,2,2,2,1,1,1,5,4
USA,41,Female,False,678.3494500405003,5,5,1,2,1,4,2,1,1,2
Canada,58,Male,False,612.6514293305373,4,4,2,3,1,5,3,4,3,5
USA,29,Male,False,437.1531345269396,2,4,3,3,1,2,1,2,5,2
USA,48,Male,True,285.33119878525804,3,4,2,3,2,2,5,4,1,2
Australia,66,Female,False,657.9377611138691,3,3,1,3,1,4,4,2,3,1
Mexico,50,Male,False,10.0,5,5,2,3,3,5,3,5,5,2
UK,51,Female,False,882.2092054076668,2,4,2,2,2,4,4,5,1,3
Australia,44,Female,True,789.2474239411047,3,3,2,4,1,4,4,4,1,2
UK,37,Female,False,1073.5368807013808,4,4,1,3,2,4,5,2,1,3
Mexico,47,Female,False,678.3830734902194,3,3,2,4,1,3,5,2,5,2
UK,39,Male,False,679.2859499769809,4,3,2,3,2,3,2,1,1,1
Canada,28,Female,True,163.61822999626395,3,3,3,5,2,3,2,3,3,4
Australia,33,Male,True,666.1671179618706,4,5,2,4,2,2,1,5,2,2
Australia,40,Female,True,368.4994576823666,2,3,2,3,2,3,2,5,1,3
USA,43,Male,False,649.5160247136022,4,3,2,3,1,3,4,4,5,3
UK,28,Male,True,1104.6850902061324,4,4,2,4,2,4,3,4,1,5
USA,43,Female,False,934.1379183812033,3,3,2,2,1,3,5,1,3,3
Mexico,50,Female,True,645.1488082579828,5,4,2,3,3,1,3,4,4,4
Mexico,39,Female,False,172.83035764010106,5,3,3,3,3,4,3,3,4,3
USA,50,Female,True,566.6314107183804,5,2,2,5,1,5,1,1,3,2
UK,65,Female,True,227.2227155275442,5,3,2,5,2,4,5,3,2,4
Australia,44,Female,True,554.1089396945755,3,2,2,5,1,1,5,1,5,2
USA,55,Male,True,10.0,3,3,1,2,1,4,1,2,2,5
Australia,35,Male,True,875.5599752459686,4,4,2,2,1,3,4,3,1,5
USA,51,Male,False,765.284682765898,2,3,1,2,3,1,5,5,1,5
UK,62,Female,False,723.7168403407527,2,3,2,3,2,5,1,2,1,2
UK,39,Female,True,573.1005294954846,4,3,1,5,2,2,3,4,2,5
Mexico,41,Male,False,608.3308768874986,3,4,1,4,2,1,4,5,1,1
Australia,41,Female,False,592.1704874214039,4,4,1,5,1,2,1,4,3,5
Australia,45,Male,True,10.0,3,5,2,2,3,4,5,2,3,1
Canada,57,Female,False,917.4797112268444,4,2,2,5,2,4,4,1,1,1
Mexico,52,Female,True,542.8467762667016,4,2,1,3,2,5,3,1,5,5
Australia,63,Male,False,214.85579979601113,2,4,2,4,2,3,3,4,4,3
Mexico,46,Female,False,432.27186101641087,4,5,1,5,1,4,3,2,3,4
Australia,45,Male,True,531.5708660178168,3,3,2,3,2,1,3,2,4,2
